labels,CPU1 Temp,CPU2 Temp,Inlet Temp,Memory usage,Fan1 speed,Fan2 speed,Fan3 speed,Fan4 speed,Power consumption,mse
0,38,30,17,5.722,9660,9590,9660,9590,69,1.6213143645296948
1,76,55.99999999999999,17,7.073,9590,9590,9660,9660,151,1.5619380407010168
2,64,49,0,23.2565,0,0,0,0,121,0.10526237114534924
3,49,40,10,39.5795,5740,5670,5740,5740,82.5,1.0767585673029718
4,60,49,11,71.434,9450,9450,9380,9450,168,1.4313724918555855
5,32,28,10,71.8155,9380,9310,9310,9380,67.5,0.8057596218300974
6,30,20,0,27.049,0,0,0,0,22.5,0.0843491253582016
